state_name,N_state,n,f_s,DO_s,rho_hat_trump,DI_trump,n_star_eff_trump,n_eff_trump,Me95_star_trump,Me95_star_upper_trump,rho_hat_harris,DI_harris,n_star_eff_harris,n_eff_harris,Me95_star_harris,Me95_star_upper_harris
Kansas,1327591,304,0.0002289861862576652,4366.075657894737,-0.0056090647236841885,3.1461607074478384e-05,7.279940671769555,7.279906235400455,0.3668103691097952,0.37062616853930985,0.005488913340734127,3.012816966208908e-05,7.602142297709249,7.602104492230434,0.3568170359141602,0.36268701131770603
Kentucky,2074530,429,0.00020679382799959509,4834.734265734266,-0.00403365755201291,1.627039324691078e-05,12.712452452325396,12.71238068029701,0.2684638889813074,0.28046929911812263,0.004418563448698589,1.952370295017517e-05,10.594127612975885,10.594078618268073,0.2909475662176275,0.3072326734695206
Louisiana,2006975,320,0.00015944393926182438,6270.796875000001,-0.002393699903962167,5.729799230228487e-06,27.83158000447456,27.831207924277187,0.18555498636006917,0.1895531775183265,0.0023331045993018793,5.443377071283583e-06,29.296035089495827,29.295622054773094,0.17954516436427959,0.1847547345213425
Maine,831375,183,0.0002201172755976545,4542.0327868852455,-0.0001952829416862486,3.813542731363478e-08,5773.260020645933,5733.452451052125,0.01310674839972281,0.013161016723658105,0.00017947405184084916,3.221093528417181e-08,6835.124032807711,6779.39552805988,0.012081624604706409,0.012095582836595646
Maryland,3038334,559,0.00018398240614757956,5434.302325581395,-0.0012555166335207171,1.5763220170471948e-06,116.7377350009476,116.7332883368093,0.08773875021869759,0.09255382435699093,0.0015026911179822104,2.2580805960626253e-06,81.492335669099,81.49017680940013,0.10718892901236686,0.11077496393379394
Massachusetts,3473668,643,0.00018510692443837466,5401.283048211508,-0.0012617785696905444,1.592085158930316e-06,116.28850022069533,116.28464081740809,0.0890353028631774,0.09273242464337617,0.0012319599820809369,1.5177253974488622e-06,121.98596377634372,121.98171521844259,0.0882326384359453,0.0905409546066343
Michigan,5664186,1159,0.000204618986735252,4886.132010353753,-0.0029214047761142894,8.534605865903381e-06,23.980118994311955,23.98002170516051,0.20420570202249036,0.204208743488479,0.002866613615850369,8.217473622578727e-06,24.905569963933907,24.905464850959582,0.20026469434412553,0.2003787935673821
Minnesota,3253920,652,0.0002003737031027192,4989.674846625766,-0.003280393321023118,1.0760980340613083e-05,18.624126652640715,18.624025779758163,0.23120879439119535,0.23171921139731047,0.0032568256172482804,1.0606913101164642e-05,18.894645299597048,18.89454139070556,0.230015281615213,0.23005444464566754
Mississippi,1228008,200,0.0001628653884990977,6139.040000000001,-0.0010175935333791902,1.0354965991751452e-06,157.30801828258538,157.28799773284481,0.07781617057869351,0.07973051512564173,0.0007882873213744953,6.213969010397769e-07,262.13828501885575,262.0825526099021,0.05995934879903053,0.06176390880894143
Missouri,2995327,815,0.00027209049295786404,3674.2478527607364,-0.003438435292862153,1.182283726320004e-05,23.02023958247215,23.02007034965265,0.205395667227672,0.20842273011323012,0.0033179769046763844,1.100897073996588e-05,24.722070098288565,24.72187430856975,0.19712497238105878,0.20112107572908766
Montana,602963,158,0.0002620392959435322,3815.221518987342,-0.002340447850830608,5.477696142457612e-06,47.850039819129414,47.846322168433694,0.14251307944940364,0.1445635645561434,0.001944331762900122,3.7804260042222967e-06,69.33292127420141,69.32506475224473,0.11685462069518016,0.12009647223065395
Nebraska,952182,211,0.0002215962914652871,4511.710900473933,-0.0039012203860619493,1.5219520500625344e-05,14.563231953099342,14.563024511783674,0.25745147829628046,0.2620421274197297,0.003475670083381002,1.2080282528509702e-05,18.347700622271873,18.347366353242453,0.22758748947204832,0.233458224024518
Nevada,1465215,378,0.0002579826168855765,3875.230158730159,-0.0038087846434652303,1.4506840460296561e-05,17.78810415658132,17.787900346677958,0.23702556464301328,0.23710197312470457,0.0035783345221891334,1.2804477952690534e-05,20.153042556212988,20.152779122314488,0.2226001720642439,0.2227561427414781
New Hampshire,826189,179,0.0002166574476300217,4614.581005586592,-0.0032420225932616193,1.0510710495218795e-05,20.61748331384577,20.616993772081297,0.2200335604354087,0.22023288811268923,0.0033443858115944827,1.1184916456794486e-05,19.374699765432403,19.374268875158332,0.22716712911963644,0.2271864939440651
