caseid,state,X_trump,X_harris,selfvoted_2024,validated_voter
1854082086,48,0.0,0.0,0.0,1
1854103284,39,0.0,0.0,0.0,1
1854102954,36,0.0,0.0,0.0,1
1852770940,12,0.0,0.0,0.0,1
1854081810,6,0.0,0.0,0.0,1
1854071360,22,0.0,0.0,,0
1843402086,12,0.0,0.0,,1
1853846670,42,0.0,0.0,0.0,1
1854098580,48,0.0,0.0,0.0,0
1854105932,4,0.0,0.0,0.0,1
1854086038,6,0.0,0.0,0.0,1
1854102572,28,0.0,0.0,,1
1854102638,12,0.0,0.0,0.0,1
1854086300,21,0.0,0.0,0.0,0
1854102738,48,0.0,0.0,0.0,1
1852742910,39,0.0,0.0,0.0,1
1854032436,1,0.0,0.0,0.0,1
1854114428,48,0.0,0.0,0.0,1
1851703926,12,0.0,0.0,,1
1852722720,29,0.0,0.0,0.0,1
1850786920,46,0.0,0.0,0.0,0
1852896288,35,0.0,0.0,0.0,1
1854054442,26,0.0,0.0,0.0,1
1855236284,51,0.0,0.0,0.0,0
1855234492,37,0.0,0.0,0.0,1
1855241034,53,0.0,0.0,,0
1855233832,1,0.0,0.0,0.0,1
1855239396,29,0.0,0.0,0.0,1
1855249420,9,0.0,0.0,,0
1854271656,41,0.0,0.0,0.0,0
1855246260,24,0.0,0.0,0.0,1
1855277614,48,0.0,0.0,0.0,1
1855282688,6,0.0,0.0,,1
1855245724,53,0.0,0.0,0.0,0
1855275802,12,0.0,0.0,0.0,1
1855293694,49,0.0,0.0,0.0,0
1855276470,36,0.0,0.0,0.0,1
1855288570,26,0.0,0.0,0.0,1
1854223200,6,0.0,0.0,0.0,1
1855248360,29,0.0,0.0,0.0,1
1855285670,17,0.0,0.0,,1
1855275794,48,0.0,0.0,,0
1855198442,12,0.0,0.0,,1
1855323974,48,0.0,0.0,0.0,1
1854377364,6,0.0,0.0,,0
1855328686,36,0.0,0.0,,0
1855323968,13,0.0,0.0,0.0,1
1855296934,36,0.0,0.0,0.0,1
1855293894,22,0.0,0.0,0.0,1
1854464126,12,0.0,0.0,0.0,1
1855315490,33,0.0,0.0,0.0,1
1855292326,13,0.0,0.0,0.0,0
1855247904,6,0.0,0.0,0.0,1
1855322050,23,0.0,0.0,0.0,1
1855246266,34,0.0,0.0,0.0,1
1855246188,6,0.0,0.0,0.0,0
1855081702,29,0.0,0.0,0.0,1
1854464080,4,0.0,0.0,0.0,1
1855291076,13,0.0,0.0,0.0,0
1854549892,31,0.0,0.0,0.0,1
1855298160,9,0.0,0.0,,0
1855325276,42,0.0,0.0,0.0,0
1855298198,24,0.0,0.0,0.0,1
1855289482,36,0.0,0.0,0.0,1
1855239606,34,0.0,0.0,0.0,1
1855306844,36,0.0,0.0,,0
1855300890,4,0.0,0.0,,1
1855291142,13,0.0,0.0,0.0,0
1854486686,26,0.0,0.0,0.0,1
1855013634,26,0.0,0.0,0.0,1
1855333442,48,0.0,0.0,0.0,1
1854643124,50,0.0,0.0,0.0,1
1855335472,41,0.0,0.0,0.0,1
1854320954,6,0.0,0.0,0.0,1
1850309040,19,0.0,0.0,0.0,1
1853467986,12,0.0,0.0,0.0,1
1855360482,36,0.0,0.0,0.0,0
1855361930,48,0.0,0.0,0.0,1
