state_name,n,sum_w,sum_wx,p_hat,num_for_var,var_delta,se,ci_lo,ci_hi,p_trump_true,N_state
Nebraska,263,255.42,118.44,0.46370683579985905,61.942244368459654,0.0009494610124516712,0.030813325241714356,0.40331271832609894,0.5241009532736192,0.5931807154514578,952182
Nevada,533,513.66,201.82,0.3929058131838181,118.85952836011896,0.000450487254117593,0.02122468501810081,0.3513054305483405,0.4345061958192957,0.5126926765014008,1465215
New Hampshire,238,228.7,86.41,0.37783121993878444,52.25474388900094,0.0009990641939220913,0.031607976745152346,0.3158795855182858,0.43978285435928305,0.478731864016587,826189
New Jersey,1181,1137.48,485.89,0.4271635545240356,269.45653065300473,0.0002082577515159198,0.014431138261271001,0.3988785235319444,0.45544858551612677,0.4606463088544196,4272725
New Mexico,291,281.48,114.76,0.40770214580076736,65.94317352155275,0.0008322901580383721,0.028849439475289153,0.3511572444292006,0.4642470471723341,0.4585116141056505,923403
New York,2388,2291.55,842.5699999999999,0.3676856276319521,514.9221760805053,9.805797504459842e-05,0.0099024226856158,0.34827687916814515,0.3870943760957591,0.4331444097499576,8262600
North Carolina,1369,1318.92,593.81,0.45022442604555235,316.9581732142718,0.00018220699568073745,0.013498407153465829,0.42376754802475936,0.47668130406634535,0.5085719058363357,5699141
North Dakota,86,81.78,35.16,0.42993396918561994,19.178289921298074,0.002867580821897734,0.053549797589699015,0.3249763659098099,0.53489157246143,0.669568524127066,368155
Ohio,1858,1801.86,782.8,0.43443996758904685,431.7174106117779,0.00013297116532768523,0.011531312385313531,0.4118385953138323,0.4570413398642614,0.5513579902728741,5767788
Oklahoma,466,448.4,242.12,0.5399643175735951,107.73100766745632,0.0005358083954937028,0.02314753540862834,0.4945951481726835,0.5853334869745066,0.6616210342024795,1566173
Oregon,800,777.61,248.02,0.31895165957227917,164.91216804677947,0.00027272756021563235,0.016514465181035453,0.2865833078174497,0.35132001132710866,0.4096604444745428,2244493
Pennsylvania,2352,2278.9,1053.97,0.46249067532581506,551.6595788310033,0.00010622350480930401,0.010306478778385177,0.44228997692018013,0.48269137373145,0.5037253671558666,7034206
Rhode Island,159,152.5,52.54,0.34452459016393444,33.28717450484923,0.0014313216664272716,0.03783281203436075,0.27037227857658735,0.4186769017512815,0.4178753659230616,513086
South Carolina,675,651.45,353.36,0.5424207537032772,156.90218664665284,0.00036971478568119967,0.019227968839198792,0.5047339347784476,0.5801075726281069,0.5822862951015251,2548140
South Dakota,127,123.32,65.06,0.5275705481673695,29.952803558316145,0.001969565580823468,0.04437978797632395,0.44058616373377457,0.6145549326009644,0.6343367791812964,428922
Tennessee,1005,973.54,553.4399999999999,0.5684820346364813,232.2070829531299,0.0002450010030924876,0.015652507885079874,0.5378031191817247,0.5991609500912378,0.6419393709149847,3063942
Texas,3057,2930.34,1423.8899999999999,0.4859128974794733,707.5790072723134,8.240222012641228e-05,0.009077566861577627,0.46812086643078116,0.5037049285281655,0.561399597529967,11388674
Utah,355,341.7,151.44,0.44319578577699736,81.73387511982,0.0007000227145001122,0.026457942370866867,0.39133821873009833,0.4950533528238964,0.5937665855556018,1488494
Vermont,101,98.4,24.82,0.25223577235772354,18.02131142342521,0.0018612135038073823,0.04314178373465082,0.16767787623780794,0.33679366847763914,0.322959777110552,369690
Virginia,1188,1147.6,486.75,0.4241460439177414,273.11175808527724,0.00020737639417246038,0.014400569230848493,0.39592092822527836,0.45237115961020447,0.4605739184347081,4503288
Washington,1064,1030.57,355.31,0.34477036979535597,226.3207948502953,0.00021309313945893266,0.014597710075862332,0.31615885804666577,0.37338188154404617,0.3901193172797912,3924243
West Virginia,301,285.98,172.60999999999999,0.6035736764808727,65.91649486748577,0.0008059772473568954,0.028389738416492945,0.5479297891845465,0.6592175637771989,0.6996684955362295,762584
Wisconsin,1035,1001.64,404.37,0.403707919012819,234.65855705818046,0.0002338907662722027,0.015293487707916815,0.37373268310530205,0.43368315492033593,0.495958711251628,3422918
Wyoming,65,62.33,43.05,0.6906786459168939,12.926794378389308,0.0033273354487502807,0.05768306032753707,0.5776198476749212,0.8037374441588665,0.7159800481698433,269048
