state_name,n,sum_w,sum_wx,p_hat,num_for_var,var_delta,se,ci_lo,ci_hi,p_trump_true,p_harris_true,N_state,color
South Dakota,127,123.32,56.56,0.4586441777489459,29.851780678932705,0.001962922757365493,0.0443048841254042,0.37180660486315364,0.5454817506347381,0.6343367791812964,0.3423909242239847,428922,red
Tennessee,1005,973.54,408.92,0.4200341023481316,230.65623821132365,0.00024336471141459795,0.015600151006147278,0.38945780637608296,0.45061039832018024,0.6419393709149847,0.3447405336001791,3063942,red
Texas,3057,2930.34,1450.15,0.49487431492591305,708.1122866518623,8.246432401074297e-05,0.009080986951358479,0.47707558050125043,0.5126730493505757,0.561399597529967,0.4245665474312461,11388674,red
Utah,355,341.7,179.4,0.5250219490781387,82.55226974357156,0.0007070319848327743,0.02659007305053475,0.4729054058990906,0.5771384922571868,0.5937665855556018,0.3779430753499846,1488494,red
Vermont,101,98.4,68.64,0.697560975609756,20.226538488994645,0.002088965985131478,0.04570520741809929,0.6079787690702815,0.7871431821492306,0.322959777110552,0.6378073521058184,369690,blue
Virginia,1188,1147.6,633.93,0.5523963053328685,276.42630696532586,0.00020989316313133554,0.014487690055054861,0.524000432824961,0.5807921778407761,0.4605739184347081,0.5182386736091495,4503288,blue
Washington,1064,1030.57,646.58,0.6274003706686592,234.10155025203758,0.00022041913704132912,0.014846519357793232,0.5983011927273845,0.6564995486099339,0.3901193172797912,0.5723012056083173,3924243,blue
West Virginia,301,285.98,105.53,0.36901181900832225,64.1319829300996,0.0007841575795778146,0.028002813779651047,0.3141263040002062,0.4238973340164383,0.6996684955362295,0.2810300242333959,762584,red
Wisconsin,1035,1001.64,577.27,0.5763248272832554,237.9934798352394,0.00023721477735265755,0.015401778382792605,0.5461373416529819,0.6065123129135289,0.495958711251628,0.4873704248830968,3422918,purple
Wyoming,65,62.33,17.32,0.27787582223648327,12.126532451503772,0.0031213493550855628,0.055869037534985,0.16837250866791267,0.3873791358050539,0.7159800481698433,0.2584185721506943,269048,red
