state_name,n,p_hat_trump,p_trump_true,p_harris_true,N_state,bias_trump,abs_bias_trump,f_s,bias_harris,p_hat_harris,DO_s,sigma_trump,rho_hat_trump,sigma_harris,rho_hat_harris
Kansas,304,0.3881578947368421,0.5715630792917397,0.4104072715166041,1327591,-0.18340518455489757,0.18340518455489757,0.0002289861862576652,0.17840851795708007,0.5888157894736842,4366.075657894737,0.49485222610622276,-0.0056090647236841885,0.491907656987468,0.005488913340734127
Kentucky,429,0.5104895104895105,0.6447214549801642,0.3393747017396711,2074530,-0.13423194449065368,0.13423194449065368,0.00020679382799959509,0.14547378310881376,0.48484848484848486,4834.734265734266,0.4785976394304764,-0.00403365755201291,0.4734971104017219,0.004418563448698589
Louisiana,320,0.509375,0.6021524931800346,0.3821024178178602,2006975,-0.09277749318003459,0.09277749318003459,0.00015944393926182438,0.08977258218213979,0.471875,6270.796875000001,0.4894536424801668,-0.002393699903962167,0.4859013892917014,0.0023331045993018793
Maine,183,0.44808743169398907,0.4546408058938505,0.52401383250639,831375,-0.006553374199861406,0.006553374199861406,0.0002201172755976545,0.0060408123023532045,0.5300546448087432,4542.0327868852455,0.4979382928737663,-0.0001952829416862486,0.49942300292272784,0.00017947405184084916
Maryland,559,0.29695885509839,0.3408282302077388,0.6261908664419382,3038334,-0.043869375109348796,0.043869375109348796,0.00018398240614757956,0.05359446450618344,0.6797853309481217,5434.302325581395,0.4739877083861979,-0.0012555166335207171,0.4838138745702038,0.0015026911179822104
Massachusetts,643,0.3157076205287714,0.3602252719603601,0.6121822810930694,3473668,-0.0445176514315887,0.0445176514315887,0.00018510692443837466,0.044116319217972655,0.656298600311042,5401.283048211508,0.48006564697074994,-0.0012617785696905444,0.48725264063805296,0.0012319599820809369
Michigan,1159,0.39516824849007764,0.4972710995013228,0.4831290850971348,5664186,-0.10210285101124517,0.10210285101124517,0.000204618986735252,0.10013234717206276,0.5832614322691976,4886.132010353753,0.4999925530466112,-0.0029214047761142894,0.4997152911712231,0.002866613615850369
Minnesota,652,0.3512269938650307,0.4668313910606284,0.5092254880267493,3253920,-0.11560439719559767,0.11560439719559767,0.0002003737031027192,0.1150076408076065,0.6242331288343558,4989.674846625766,0.4988986303659563,-0.003280393321023118,0.499914883125786,0.0032568256172482804
Mississippi,200,0.57,0.6089080852893467,0.3800203256004847,1228008,-0.03890808528934675,0.03890808528934675,0.0001628653884990977,0.029979674399515266,0.41,6139.040000000001,0.487994906693306,-0.0010175935333791902,0.4853914685395555,0.0007882873213744953
Missouri,815,0.4822085889570552,0.5849064225708912,0.4008240168769553,2995327,-0.102697833613836,0.102697833613836,0.00027209049295786404,0.09856248619052937,0.49938650306748467,3674.2478527607364,0.4927381651609841,-0.003438435292862153,0.4900654286639464,0.0033179769046763844
Montana,158,0.5126582278481012,0.583914767572803,0.3846106643359542,602963,-0.0712565397247018,0.0712565397247018,0.0002620392959435322,0.05842731034759008,0.4430379746835443,3815.221518987342,0.4929080155396161,-0.002340447850830608,0.48650313587376826,0.001944331762900122
Nebraska,211,0.46445497630331756,0.5931807154514578,0.3885759235104213,952182,-0.12872573914814023,0.12872573914814023,0.0002215962914652871,0.11379374473602416,0.5023696682464455,4511.710900473933,0.4912406276642379,-0.0039012203860619493,0.4874265843985579,0.003475670083381002
Nevada,378,0.3941798941798942,0.5126926765014008,0.4812925065604706,1465215,-0.11851278232150664,0.11851278232150664,0.0002579826168855765,0.11130008603212194,0.5925925925925926,3875.230158730159,0.499838870000354,-0.0038087846434652303,0.4996499071241883,0.0035783345221891334
New Hampshire,179,0.3687150837988827,0.478731864016587,0.5065281672837572,826189,-0.11001678021770434,0.11001678021770434,0.0002166574476300217,0.11358356455981822,0.6201117318435754,4614.581005586592,0.49954746160078833,-0.0032420225932616193,0.4999573812155545,0.0033443858115944827
New Jersey,904,0.41261061946902655,0.4606463088544196,0.5197416168838388,4272725,-0.04803568938539304,0.04803568938539304,0.00021157458062477693,0.04552386984182488,0.5652654867256637,4725.465707964601,0.4984488810231379,-0.001401913101832558,0.49961011655371007,0.0013255180353857665
New Mexico,224,0.38392857142857145,0.4585116141056505,0.5185189998299767,923403,-0.07458304267707905,0.07458304267707905,0.00024258097493727007,0.07523100017002327,0.59375,4121.334821428572,0.4982757407659755,-0.002331585812884,0.49965692894755026,0.0023453408722940937
New York,1732,0.35161662817551964,0.4331444097499576,0.5590486045554668,8262600,-0.08152778157443796,0.08152778157443796,0.00020961924817853943,0.07432321992490276,0.6333718244803695,4769.554272517321,0.4955101714922898,-0.002382397110903933,0.49650101943505826,0.0021675317833641915
North Carolina,1049,0.44518589132507147,0.5085719058363357,0.4764533813078146,5699141,-0.06338601451126424,0.06338601451126424,0.00018406282631014043,0.06024823928322448,0.5367016205910391,5431.927550047664,0.4999265170305862,-0.001720324158545664,0.4994452489994922,0.0016367392184996464
North Dakota,65,0.4307692307692308,0.669568524127066,0.3051079029213239,368155,-0.23879929335783523,0.23879929335783523,0.00017655607013350355,0.2179690201555992,0.5230769230769231,5662.923076923077,0.47036848919264207,-0.006746437265286543,0.4604531143300867,0.006290555900079737
Ohio,1360,0.4198529411764706,0.5513579902728741,0.4392843495634722,5767788,-0.13150504909640354,0.13150504909640354,0.0002357923002717853,0.13056859161299839,0.5698529411764706,4240.020588235294,0.49735536272883535,-0.004060613367421347,0.49629991919409916,0.004040271336227876
Oklahoma,346,0.5289017341040463,0.6616210342024795,0.3189934956099997,1566173,-0.13271930009843325,0.13271930009843325,0.00022092067734535073,0.11453251595069397,0.43352601156069365,4525.5115606936415,0.47315815675450523,-0.0041695953734301175,0.4660865213332314,0.003652821226722849
Oregon,675,0.31555555555555553,0.4096604444745428,0.5527306166693324,2244493,-0.09410488891898727,0.09410488891898727,0.0003007360682345634,0.09912123518251947,0.6518518518518519,3324.1748148148154,0.49177104907412234,-0.003319000371962504,0.4972117074905537,0.0034576691236179896
Pennsylvania,1851,0.4467855213398163,0.5037253671558666,0.4866280572391539,7034206,-0.05693984581605027,0.05693984581605027,0.0002631427058007684,0.04929846896289902,0.5359265262020529,3799.2193408968124,0.49998612144693977,-0.0018476136140715374,0.4998211591627556,0.001600190216133996
Rhode Island,121,0.33884297520661155,0.4178753659230616,0.5557664796934627,513086,-0.07903239071645007,0.07903239071645007,0.00023582791189001454,0.08886161948009097,0.6446280991735537,4239.380165289256,0.4932094326731079,-0.0024610620511194012,0.49688036763651533,0.0027466998547034703
South Carolina,522,0.5574712643678161,0.5822862951015251,0.4036089068889464,2548140,-0.024815030733708943,0.024815030733708943,0.00020485530622336293,0.019762740620632158,0.42337164750957856,4880.494252873563,0.4931824871571016,-0.0007202367345375768,0.49062078754253396,0.000576592942872429
South Dakota,104,0.4807692307692308,0.6343367791812964,0.3423909242239847,428922,-0.1535675484120656,0.1535675484120656,0.00024246832757471054,0.1576090757760153,0.5,4123.25,0.48161564525998907,-0.004965683448910428,0.47450961974761935,0.005172688991458545
Tennessee,763,0.54521625163827,0.6419393709149847,0.3447405336001791,3063942,-0.09672311927671462,0.09672311927671462,0.0002490256016595614,0.10086890283494543,0.4456094364351245,4014.6513761467895,0.4794300939493248,-0.003184058831364394,0.47528359754281746,0.003349504389660269
Texas,2257,0.4873726185201595,0.561399597529967,0.4245665474312461,11388674,-0.07402697900980754,0.07402697900980754,0.00019817934906205938,0.06856592930778799,0.4931324767390341,5044.934426229508,0.49621576901904085,-0.0021003501505270266,0.49427704198511746,0.0019530356229143847
Utah,137,0.48905109489051096,0.5937665855556018,0.3779430753499846,1488494,-0.10471549066509084,0.10471549066509084,9.203933640310274e-05,0.09650947939454091,0.4744525547445255,10863.919708029196,0.49112913519078055,-0.002045605863815585,0.4848732897829911,0.0019096265251789765
Vermont,77,0.19480519480519481,0.322959777110552,0.6378073521058184,369690,-0.1281545823053572,0.1281545823053572,0.00020828261516405637,0.10245238815392188,0.7402597402597403,4800.168831168831,0.4676074844132144,-0.003955709856020611,0.480634095446404,0.0030766582211571238
Virginia,952,0.4380252100840336,0.4605739184347081,0.5182386736091495,4503288,-0.022548708350674462,0.022548708350674462,0.00021140109182446248,0.019576452441270598,0.5378151260504201,4729.344537815126,0.4984431603426884,-0.0006578176947038708,0.49966724005579843,0.0005697084226372254
Washington,864,0.3449074074074074,0.3901193172797912,0.5723012056083173,3924243,-0.045211909872383826,0.045211909872383826,0.00022016985186697153,0.05385620179909012,0.6261574074074074,4540.947916666667,0.48777682967207536,-0.0013754931317959992,0.49474491979967194,0.0016154038657009598
West Virginia,236,0.5805084745762712,0.6996684955362295,0.2810300242333959,762584,-0.11916002095995826,0.11916002095995826,0.0003094741038364298,0.10456319610558718,0.3855932203389831,3230.2881355932204,0.45840210720534297,-0.004573654290531551,0.44950211313493604,0.004092856147416767
Wisconsin,769,0.40052015604681407,0.495958711251628,0.4873704248830968,3422918,-0.09543855520481392,0.09543855520481392,0.00022466211577373458,0.0965047376656678,0.5838751625487646,4450.128738621586,0.4999836677185089,-0.0028614209373423803,0.4998404683820294,0.0028942159474387337
Wyoming,51,0.6470588235294118,0.7159800481698433,0.2584185721506943,269048,-0.06892122464043149,0.06892122464043149,0.00018955725372424252,0.055306918045384124,0.3137254901960784,5274.450980392156,0.45094635910776815,-0.0021044541620196177,0.43776524955538754,0.001739600582336332
