state_name,n,p_hat_trump,p_trump_true,p_harris_true,N_state,bias_trump,abs_bias_trump,f_s,bias_harris,p_hat_harris,DO_s,sigma_trump,rho_hat_trump,sigma_harris,rho_hat_harris,O_trump,O_harris,rho_lb_trump,rho_ub_trump,rho_lb_harris,rho_ub_harris,Z_nN_trump,Z_nN_harris,log10_N,log10_absZ_nN_trump,log10_absZ_nN_harris,color,Z_n_s_trump,Z_n_s_harris,cover_rate_H,cover_rate_T
Montana,158,0.5126582278481012,0.583914767572803,0.3846106643359542,602963,-0.0712565397247018,0.0712565397247018,0.0002620392959435322,0.05842731034759008,0.4430379746835443,3815.221518987342,0.4929080155396161,-0.002340447850830608,0.48650313587376826,0.001944331762900122,1.403353741171219,0.6249875356077366,-0.019178900183954163,0.013666475972015243,-0.012798992912213656,0.020478797068757448,-1.8173724498430495,1.509785820690433,5.780290663070759,0.25944394015106054,0.1789153423331081,red,-1.7919359699179933,1.4784654115559441,True,True
Nebraska,211,0.46445497630331756,0.5931807154514578,0.3885759235104213,952182,-0.12872573914814023,0.12872573914814023,0.0002215962914652871,0.11379374473602416,0.5023696682464455,4511.710900473933,0.4912406276642379,-0.0039012203860619493,0.4874265843985579,0.003475670083381002,1.4580938956955436,0.6355260423197358,-0.01797720265622163,0.012329248966265029,-0.01186850573904844,0.01867508953012715,-3.8068015774145545,3.391550603821045,5.978719967335338,0.5805602405969436,0.5303983013645639,red,-3.7491845407209117,3.305936369070146,False,False
Nevada,378,0.3941798941798942,0.5126926765014008,0.4812925065604706,1465215,-0.11851278232150664,0.11851278232150664,0.0002579826168855765,0.11130008603212194,0.5925925925925926,3875.230158730159,0.499838870000354,-0.0038087846434652303,0.4996499071241883,0.0035783345221891334,1.0520931079396647,0.9278688136333613,-0.016477007414931456,0.015661168475096954,-0.015473713030187831,0.016676617214448297,-4.61038238524669,4.331431675436368,6.165901356063953,0.6637369472802283,0.6366314681717098,purple,-4.715112058313437,4.404015412744158,False,False
New Hampshire,179,0.3687150837988827,0.478731864016587,0.5065281672837572,826189,-0.11001678021770434,0.11001678021770434,0.0002166574476300217,0.11358356455981822,0.6201117318435754,4614.581005586592,0.49954746160078833,-0.0032420225932616193,0.4999573812155545,0.0033443858115944827,0.9183984804930038,1.0264581151383,-0.014107479933377114,0.015360957398148247,-0.014914355104118994,0.014529920786986525,-2.946832686567703,3.039875615482667,5.917079408419431,0.4693554784481023,0.48285581366971686,blue,-3.0508951855100492,3.1309713572422013,False,False
New Jersey,904,0.41261061946902655,0.4606463088544196,0.5197416168838388,4272725,-0.04803568938539304,0.04803568938539304,0.00021157458062477693,0.04552386984182488,0.5652654867256637,4725.465707964601,0.4984488810231379,-0.001401913101832558,0.49961011655371007,0.0013255180353857665,0.8540709304797983,1.0822124821882135,-0.013443881080016148,0.01574094211643952,-0.01513331114674128,0.013983678247863124,-2.8978340730817225,2.7399211280671776,6.630704941769728,0.4620735146037409,0.43773806131009113,blue,-2.9336952463790955,2.7611188026597295,False,False
New Mexico,224,0.38392857142857145,0.4585116141056505,0.5185189998299767,923403,-0.07458304267707905,0.07458304267707905,0.00024258097493727007,0.07523100017002327,0.59375,4121.334821428572,0.4982757407659755,-0.002331585812884,0.49965692894755026,0.0023453408722940937,0.8467616777197347,1.0769251531148154,-0.014333810154675048,0.01692779743324582,-0.016164929359092455,0.015010262609558574,-2.24050960215953,2.2537273625851992,5.96539128117606,0.3503468095103708,0.3529013775102887,blue,-2.295214904669138,2.2925686352585,False,False
New York,1732,0.35161662817551964,0.4331444097499576,0.5590486045554668,8262600,-0.08152778157443796,0.08152778157443796,0.00020961924817853943,0.07432321992490276,0.6333718244803695,4769.554272517321,0.4955101714922898,-0.002382397110903933,0.49650101943505826,0.0021675317833641915,0.7641177350988032,1.2678236429932987,-0.012657304914525417,0.01656460036605325,-0.01630386331544501,0.012859724935364048,-6.84813781670368,6.2305130855919835,6.917116728673471,0.8355724918022241,0.7945238124803582,blue,-7.1060610141788105,6.418834401574926,False,False
North Carolina,1049,0.44518589132507147,0.5085719058363357,0.4764533813078146,5699141,-0.06338601451126424,0.06338601451126424,0.00018406282631014043,0.06024823928322448,0.5367016205910391,5431.927550047664,0.4999265170305862,-0.001720324158545664,0.4994452489994922,0.0016367392184996464,1.034885697167655,0.9100495816360935,-0.013802863971079618,0.013337573423670101,-0.01294361369312916,0.014222976367792007,-4.106907780390415,3.907366525974354,6.755809401800017,0.613514950986785,0.5918841516245913,purple,-4.130824511832581,3.913228967256699,False,False
North Dakota,65,0.4307692307692308,0.669568524127066,0.3051079029213239,368155,-0.23879929335783523,0.23879929335783523,0.00017655607013350355,0.2179690201555992,0.5230769230769231,5662.923076923077,0.47036848919264207,-0.006746437265286543,0.4604531143300867,0.006290555900079737,2.0263460748047675,0.4390723454821208,-0.01891631243675762,0.009335183497014524,-0.00880537205476531,0.020054490211850216,-4.093447718613949,3.8168385305367885,5.566030703108697,0.6120892479654789,0.581703787724798,red,-3.8879725905886664,3.518394243215921,False,False
Ohio,1360,0.4198529411764706,0.5513579902728741,0.4392843495634722,5767788,-0.13150504909640354,0.13150504909640354,0.0002357923002717853,0.13056859161299839,0.5698529411764706,4240.020588235294,0.49735536272883535,-0.004060613367421347,0.49629991919409916,0.004040271336227876,1.228948645732535,0.7834351497438692,-0.017024833958241007,0.01385316955054137,-0.013593069696695076,0.01735059972882133,-9.752057356116385,9.703203491690328,6.761009289138174,0.9890962468937133,0.9869151393258443,red,-9.826395378354247,9.725642418014953,False,False
