state_name,n,p_hat_trump,p_trump_true,p_harris_true,N_state,bias_trump,abs_bias_trump,f_s,bias_harris,p_hat_harris
Montana,158,0.5126582278481012,0.583914767572803,0.3846106643359542,602963,-0.0712565397247018,0.0712565397247018,0.0002620392959435322,0.05842731034759008,0.4430379746835443
Nebraska,211,0.46445497630331756,0.5931807154514578,0.3885759235104213,952182,-0.12872573914814023,0.12872573914814023,0.0002215962914652871,0.11379374473602416,0.5023696682464455
Nevada,378,0.3941798941798942,0.5126926765014008,0.4812925065604706,1465215,-0.11851278232150664,0.11851278232150664,0.0002579826168855765,0.11130008603212194,0.5925925925925926
New Hampshire,179,0.3687150837988827,0.478731864016587,0.5065281672837572,826189,-0.11001678021770434,0.11001678021770434,0.0002166574476300217,0.11358356455981822,0.6201117318435754
New Jersey,904,0.41261061946902655,0.4606463088544196,0.5197416168838388,4272725,-0.04803568938539304,0.04803568938539304,0.00021157458062477693,0.04552386984182488,0.5652654867256637
New Mexico,224,0.38392857142857145,0.4585116141056505,0.5185189998299767,923403,-0.07458304267707905,0.07458304267707905,0.00024258097493727007,0.07523100017002327,0.59375
New York,1732,0.35161662817551964,0.4331444097499576,0.5590486045554668,8262600,-0.08152778157443796,0.08152778157443796,0.00020961924817853943,0.07432321992490276,0.6333718244803695
North Carolina,1049,0.44518589132507147,0.5085719058363357,0.4764533813078146,5699141,-0.06338601451126424,0.06338601451126424,0.00018406282631014043,0.06024823928322448,0.5367016205910391
North Dakota,65,0.4307692307692308,0.669568524127066,0.3051079029213239,368155,-0.23879929335783523,0.23879929335783523,0.00017655607013350355,0.2179690201555992,0.5230769230769231
Ohio,1360,0.4198529411764706,0.5513579902728741,0.4392843495634722,5767788,-0.13150504909640354,0.13150504909640354,0.0002357923002717853,0.13056859161299839,0.5698529411764706
Oklahoma,346,0.5289017341040463,0.6616210342024795,0.3189934956099997,1566173,-0.13271930009843325,0.13271930009843325,0.00022092067734535073,0.11453251595069397,0.43352601156069365
Oregon,675,0.31555555555555553,0.4096604444745428,0.5527306166693324,2244493,-0.09410488891898727,0.09410488891898727,0.0003007360682345634,0.09912123518251947,0.6518518518518519
Pennsylvania,1851,0.4467855213398163,0.5037253671558666,0.4866280572391539,7034206,-0.05693984581605027,0.05693984581605027,0.0002631427058007684,0.04929846896289902,0.5359265262020529
Rhode Island,121,0.33884297520661155,0.4178753659230616,0.5557664796934627,513086,-0.07903239071645007,0.07903239071645007,0.00023582791189001454,0.08886161948009097,0.6446280991735537
South Carolina,522,0.5574712643678161,0.5822862951015251,0.4036089068889464,2548140,-0.024815030733708943,0.024815030733708943,0.00020485530622336293,0.019762740620632158,0.42337164750957856
South Dakota,104,0.4807692307692308,0.6343367791812964,0.3423909242239847,428922,-0.1535675484120656,0.1535675484120656,0.00024246832757471054,0.1576090757760153,0.5
Tennessee,763,0.54521625163827,0.6419393709149847,0.3447405336001791,3063942,-0.09672311927671462,0.09672311927671462,0.0002490256016595614,0.10086890283494543,0.4456094364351245
Texas,2257,0.4873726185201595,0.561399597529967,0.4245665474312461,11388674,-0.07402697900980754,0.07402697900980754,0.00019817934906205938,0.06856592930778799,0.4931324767390341
Utah,137,0.48905109489051096,0.5937665855556018,0.3779430753499846,1488494,-0.10471549066509084,0.10471549066509084,9.203933640310274e-05,0.09650947939454091,0.4744525547445255
Vermont,77,0.19480519480519481,0.322959777110552,0.6378073521058184,369690,-0.1281545823053572,0.1281545823053572,0.00020828261516405637,0.10245238815392188,0.7402597402597403
Virginia,952,0.4380252100840336,0.4605739184347081,0.5182386736091495,4503288,-0.022548708350674462,0.022548708350674462,0.00021140109182446248,0.019576452441270598,0.5378151260504201
