state_name,n,p_hat,se,ci_lo,ci_hi,p_trump_true,p_harris_true,N_state
Missouri,1017,0.49065880039331367,0.015675944719896997,0.4599339487423155,0.5213836520443118,0.5849064225708912,0.4008240168769553,2995327
Montana,190,0.4368421052631579,0.035983262215150295,0.3663149113214633,0.5073692992048525,0.583914767572803,0.3846106643359542,602963
Nebraska,263,0.5057034220532319,0.03082931490816457,0.44527796483322934,0.5661288792732345,0.5931807154514578,0.3885759235104213,952182
Nevada,533,0.5966228893058161,0.021249170263557906,0.5549745155892426,0.6382712630223896,0.5126926765014008,0.4812925065604706,1465215
New Hampshire,238,0.6134453781512605,0.03156493548227991,0.5515781046059919,0.6753126516965292,0.478731864016587,0.5065281672837572,826189
New Jersey,1181,0.5453005927180355,0.014489561085132711,0.5169010529911754,0.5737001324448957,0.4606463088544196,0.5197416168838388,4272725
New Mexico,291,0.5567010309278351,0.02912144219478484,0.49962300422605677,0.6137790576296134,0.4585116141056505,0.5185189998299767,923403
New York,2388,0.6164154103852596,0.009950620382182107,0.5969121944361827,0.6359186263343365,0.4331444097499576,0.5590486045554668,8262600
North Carolina,1369,0.533235938641344,0.0134836256615473,0.5068080323447113,0.5596638449379767,0.5085719058363357,0.4764533813078146,5699141
North Dakota,86,0.5232558139534884,0.053858035516872994,0.41769406434041734,0.6288175635665595,0.669568524127066,0.3051079029213239,368155
Ohio,1858,0.5522066738428417,0.011536306315492843,0.5295955134644758,0.5748178342212077,0.5513579902728741,0.4392843495634722,5767788
Oklahoma,466,0.4334763948497854,0.022956135161223953,0.38848236993378643,0.47847041976578436,0.6616210342024795,0.3189934956099997,1566173
Oregon,800,0.6475,0.016890964670497655,0.6143937092458246,0.6806062907541753,0.4096604444745428,0.5527306166693324,2244493
Pennsylvania,2352,0.5170068027210885,0.010303860659908598,0.4968112358276676,0.5372023696145093,0.5037253671558666,0.4866280572391539,7034206
Rhode Island,159,0.6352201257861635,0.03817499573359786,0.5603971341483117,0.7100431174240153,0.4178753659230616,0.5557664796934627,513086
South Carolina,675,0.43555555555555553,0.01908448714921399,0.3981499607430961,0.47296115036801495,0.5822862951015251,0.4036089068889464,2548140
South Dakota,127,0.4566929133858268,0.0442010881193772,0.3700587806718475,0.5433270460998061,0.6343367791812964,0.3423909242239847,428922
Tennessee,1005,0.41890547263681593,0.01556318137653568,0.388401637138806,0.4494093081348259,0.6419393709149847,0.3447405336001791,3063942
Texas,3057,0.492639842983317,0.009042223277239383,0.47491708535992777,0.5103626006067061,0.561399597529967,0.4245665474312461,11388674
Utah,355,0.523943661971831,0.02650679960872005,0.47199033473873964,0.5758969892049223,0.5937665855556018,0.3779430753499846,1488494
Vermont,101,0.693069306930693,0.04589314350753267,0.6031187456559289,0.7830198682054571,0.322959777110552,0.6378073521058184,369690
Virginia,1188,0.5513468013468014,0.014429776137790364,0.5230644401167323,0.5796291625768705,0.4605739184347081,0.5182386736091495,4503288
Washington,1064,0.6240601503759399,0.014849149968352128,0.5949558164379697,0.65316448431391,0.3901193172797912,0.5723012056083173,3924243
West Virginia,301,0.3687707641196013,0.027809203264628855,0.31426472572092873,0.4232768025182739,0.6996684955362295,0.2810300242333959,762584
Wisconsin,1035,0.5758454106280193,0.015361897580761433,0.5457360913697269,0.6059547298863117,0.495958711251628,0.4873704248830968,3422918
Wyoming,65,0.27692307692307694,0.055502832414284886,0.16813752539107857,0.3857086284550753,0.7159800481698433,0.2584185721506943,269048
