state_name,n,p_hat,se,ci_lo,ci_hi,p_trump_true,p_harris_true,N_state,bias_trump,abs_bias_trump,f_s
Hawaii,100,0.24,0.04270831300812525,0.1562917065040745,0.32370829349592545,0.3748028356825321,0.6058513531036325,516701,-0.1348028356825321,0.1348028356825321,0.00019353552634889423
Idaho,175,0.5771428571428572,0.03734388300200769,0.5039488464589221,0.6503368678267922,0.6687379910878541,0.3038173286323403,905057,-0.09159513394499696,0.09159513394499696,0.00019335798739747884
Illinois,1218,0.36288998357963875,0.01377752040356371,0.33588604358865387,0.38989392357062364,0.4347495522170801,0.543705743159883,5633310,-0.07185956863744136,0.07185956863744136,0.00021621391331206696
Indiana,734,0.45776566757493187,0.0183893799009046,0.4217224829691589,0.49380885218070486,0.5858141702339072,0.3962311823874399,2936677,-0.12804850265897538,0.12804850265897538,0.00024994236683162634
Iowa,408,0.4117647058823529,0.024365202046456293,0.3640089098712986,0.45952050189340726,0.5572682034209675,0.425173098263547,1663506,-0.14550349753861458,0.14550349753861458,0.0002452651207750378
Kansas,304,0.3881578947368421,0.02795034033136556,0.3333752276873656,0.4429405617863186,0.5715630792917397,0.4104072715166041,1327591,-0.18340518455489757,0.18340518455489757,0.0002289861862576652
Kentucky,429,0.5104895104895105,0.024134914604357963,0.46318507786496893,0.5577939431140522,0.6447214549801642,0.3393747017396711,2074530,-0.13423194449065368,0.13423194449065368,0.00020679382799959509
Louisiana,320,0.509375,0.027945936051542004,0.4546009653389777,0.5641490346610224,0.6021524931800346,0.3821024178178602,2006975,-0.09277749318003459,0.09277749318003459,0.00015944393926182438
Maine,183,0.44808743169398907,0.036761309939665976,0.37603526421224376,0.5201395991757344,0.4546408058938505,0.52401383250639,831375,-0.006553374199861406,0.006553374199861406,0.0002201172755976545
Maryland,559,0.29695885509839,0.019325583138526115,0.2590807121468788,0.3348369980499012,0.3408282302077388,0.6261908664419382,3038334,-0.043869375109348796,0.043869375109348796,0.00018398240614757956
Massachusetts,643,0.3157076205287714,0.01832980723817199,0.2797811983419543,0.35163404271558846,0.3602252719603601,0.6121822810930694,3473668,-0.0445176514315887,0.0445176514315887,0.00018510692443837466
Michigan,1159,0.39516824849007764,0.014360401883532634,0.3670218607983537,0.4233146361818016,0.4972710995013228,0.4831290850971348,5664186,-0.10210285101124517,0.10210285101124517,0.000204618986735252
Minnesota,652,0.3512269938650307,0.018694615241479008,0.31458554799173183,0.3878684397383296,0.4668313910606284,0.5092254880267493,3253920,-0.11560439719559767,0.11560439719559767,0.0002003737031027192
Mississippi,200,0.57,0.03500714212842859,0.5013860014282799,0.63861399857172,0.6089080852893467,0.3800203256004847,1228008,-0.03890808528934675,0.03890808528934675,0.0001628653884990977
Missouri,815,0.4822085889570552,0.017503144877565057,0.4479024249970277,0.5165147529170827,0.5849064225708912,0.4008240168769553,2995327,-0.102697833613836,0.102697833613836,0.00027209049295786404
Montana,158,0.5126582278481012,0.039765114893007485,0.43471860265780654,0.5905978530383958,0.583914767572803,0.3846106643359542,602963,-0.0712565397247018,0.0712565397247018,0.0002620392959435322
Nebraska,211,0.46445497630331756,0.03433432997229531,0.39715968955761877,0.5317502630490164,0.5931807154514578,0.3885759235104213,952182,-0.12872573914814023,0.12872573914814023,0.0002215962914652871
Nevada,378,0.3941798941798942,0.025134669304953453,0.3449159423421854,0.44344384601760295,0.5126926765014008,0.4812925065604706,1465215,-0.11851278232150664,0.11851278232150664,0.0002579826168855765
