state_name,n,p_hat,se,ci_lo,ci_hi,p_trump_true,p_harris_true,N_state
Maryland,742,0.3140161725067385,0.017038485686502777,0.28062074056119307,0.347411604452284,0.3408282302077388,0.6261908664419382,3038334
Massachusetts,849,0.3168433451118963,0.015967193979929517,0.28554764491123447,0.3481390453125582,0.3602252719603601,0.6121822810930694,3473668
Michigan,1485,0.3993265993265993,0.012709254996135821,0.3744164595341731,0.42423673911902554,0.4972710995013228,0.4831290850971348,5664186
Minnesota,803,0.37733499377334995,0.017105390709999536,0.3438084279817509,0.410861559564949,0.4668313910606284,0.5092254880267493,3253920
Mississippi,290,0.5551724137931034,0.029181713969435377,0.49797625441301013,0.6123685731731968,0.6089080852893467,0.3800203256004847,1228008
Missouri,1005,0.49154228855721394,0.015769750851158445,0.4606335768889434,0.5224510002254845,0.5849064225708912,0.4008240168769553,2995327
Montana,187,0.5294117647058824,0.03650030752906017,0.4578711619489244,0.6009523674628403,0.583914767572803,0.3846106643359542,602963
Nebraska,261,0.46360153256704983,0.030867108035903274,0.4031020008166794,0.5241010643174202,0.5931807154514578,0.3885759235104213,952182
Nevada,528,0.39204545454545453,0.02124647101337452,0.35040237135924046,0.4336885377316686,0.5126926765014008,0.4812925065604706,1465215
New Hampshire,236,0.3771186440677966,0.03154900495115329,0.3152825943635362,0.43895469377205704,0.478731864016587,0.5065281672837572,826189
New Jersey,1171,0.43125533731853116,0.014472630058030005,0.4028889824047924,0.45962169223226995,0.4606463088544196,0.5197416168838388,4272725
New Mexico,291,0.40893470790378006,0.028820281648169726,0.3524469558733674,0.46542245993419273,0.4585116141056505,0.5185189998299767,923403
New York,2363,0.3685992382564537,0.009924254813684854,0.3491476988216314,0.388050777691276,0.4331444097499576,0.5590486045554668,8262600
North Carolina,1357,0.44804716285924834,0.013499662997322824,0.42158782338449563,0.47450650233400105,0.5085719058363357,0.4764533813078146,5699141
North Dakota,84,0.42857142857142855,0.05399492471560389,0.3227413761288449,0.5344014810140122,0.669568524127066,0.3051079029213239,368155
Ohio,1848,0.43452380952380953,0.011530893673872012,0.41192325792302037,0.4571243611245987,0.5513579902728741,0.4392843495634722,5767788
Oklahoma,463,0.5377969762419006,0.023170482292086233,0.4923828309494116,0.5832111215343896,0.6616210342024795,0.3189934956099997,1566173
Oregon,793,0.31904161412358134,0.01655188116086602,0.28659992704828396,0.3514833011988787,0.4096604444745428,0.5527306166693324,2244493
Pennsylvania,2333,0.46378054007715386,0.010324527301754349,0.44354446656571533,0.4840166135885924,0.5037253671558666,0.4866280572391539,7034206
Rhode Island,155,0.3419354838709677,0.03810135961852237,0.2672568190186639,0.41661414872327157,0.4178753659230616,0.5557664796934627,513086
South Carolina,670,0.5417910447761194,0.019249094127804435,0.5040628202856227,0.5795192692666161,0.5822862951015251,0.4036089068889464,2548140
South Dakota,127,0.5275590551181102,0.044300379344725596,0.440730311602448,0.6143877986337724,0.6343367791812964,0.3423909242239847,428922
Tennessee,1002,0.5688622754491018,0.015645077504433547,0.5381979235404121,0.5995266273577916,0.6419393709149847,0.3447405336001791,3063942
Texas,3019,0.4865849619079165,0.00909666240409089,0.46875550359589835,0.5044144202199347,0.561399597529967,0.4245665474312461,11388674
Utah,351,0.4415954415954416,0.026505329655826068,0.3896449954700225,0.4935458877208607,0.5937665855556018,0.3779430753499846,1488494
Vermont,99,0.25252525252525254,0.043664960568371915,0.1669419298112436,0.3381085752392615,0.322959777110552,0.6378073521058184,369690
Virginia,1169,0.4234388366124893,0.014451428582528455,0.3951140365907336,0.45176363663424507,0.4605739184347081,0.5182386736091495,4503288
Washington,1055,0.3459715639810427,0.014645098201265012,0.31726717150656325,0.3746759564555221,0.3901193172797912,0.5723012056083173,3924243
West Virginia,296,0.6047297297297297,0.028417238993183973,0.5490319413030891,0.6604275181563704,0.6996684955362295,0.2810300242333959,762584
Wisconsin,1028,0.4056420233463035,0.015314363830562627,0.37562587023840077,0.43565817645420624,0.495958711251628,0.4873704248830968,3422918
Wyoming,64,0.6875,0.05793905068043487,0.5739394606663477,0.8010605393336523,0.7159800481698433,0.2584185721506943,269048
